"name","main_category","ratings","discount_price","actual_price"
TSF Genuine Leather Casual Shoes Extra Lightweight,men's shoes,4.5,1690.0,1699.0
Pepe Jeans Men Casual Shirt,men's clothing,4.5,2598.0,2599.0
Nike Mens Revolution 5 Ext Platform,men's shoes,4.5,3690.0,3695.0
Skechers Mens Bounder Sneaker,men's shoes,4.5,3990.0,3999.0
Skechers Mens Skech-air Dynamight-Tuned Up Sneakers,men's shoes,4.5,4490.0,4499.0
Gio Collection Analog Silver Dial Women's Watch,accessories,4.5,4955.0,4990.0
Skechers Men's Bounder-high Degree Casual Shoes,men's shoes,4.5,4990.0,4999.0
Skechers Track - Ripkent,men's shoes,4.5,4990.0,4999.0
Skechers Men Equalizer 3.0 Sneakers,men's shoes,4.5,4990.0,4999.0
crocs Men Navy/White LiteRide Shoes 204967-462-M7,men's shoes,4.5,5443.0,5495.0
Skechers Men's Ultra Flex 2.0 Sneaker,men's shoes,4.5,5490.0,5499.0
Skechers Mens Flex Advantage 4.0 - MATTUS Shoes,men's shoes,4.5,5795.0,5799.0
Skechers Mens D'lux Walker-Commuter Sneaker,men's shoes,4.5,5790.0,5799.0
Nike Mens Court Vision MID NN Black/White-Black Running Shoe - 10 UK (DN3577-001),men's shoes,4.5,5990.0,5995.0
Nike Men's Black Training Shoes - 11 UK (11.5 US),men's shoes,4.5,6790.0,6795.0
Skechers Mens Go Walk 6 Walking Shoe,men's shoes,4.5,6990.0,6999.0
ASICS Mens Gel-Excite 9 Running Shoe,men's shoes,4.5,6950.0,6999.0
Nike Mens Air Max Alpha Trainer 4 Running Shoe,men's shoes,4.5,7190.0,7195.0
Nike Mens Free Rn 5.0 Next Nature Running Shoe,men's shoes,4.5,8290.0,8295.0
Hidesign Women Tote (Red),accessories,4.5,9994.0,9995.0
Nike Mens Air Zoom Pegasus 39 Running Shoe,men's shoes,4.5,10490.0,10495.0
ASICS Mens Dynablast 2 Running Shoe,men's shoes,4.5,10990.0,10999.0
Calvin Klein Circular MESH Analog Silver Dial Women's Watch-25200016,accessories,4.5,12561.0,12600.0
MMTC-PAMP 24k (999.9) Lakshmi 2 gm Yellow Gold Pendant,accessories,4.5,13720.0,13820.0
Salewa Alp Trainer 2 GTX - Waterproof Trekking & Hiking Shoes,men's shoes,4.5,18498.0,18499.0
"Bangalore Refinery 8 gm, 24k (999) Yellow Gold Lakshmi Coin",accessories,4.5,51739.0,52000.0
Bangalore Refinery 24k (999) 8 gm Yellow Gold Coin,accessories,4.5,51739.0,52000.0
Aadvik Camel Milk Chocolate | A Shark Tank Product | Classic 70g Premium Chocolate,accessories,4.4,247.0,249.0
Jockey Boys' Regular Fit Plain Cotton Brief (Pack of 2),men's clothing,4.4,268.0,269.0
Rupa Women Stretch Fit Cotton Leggings (RBRLGCF100LRJAFRS_Light Romantic Rani_FS_Pink_FS),women's clothing,4.4,498.0,499.0
Rupa Torrido Men's Cotton Vest,men's clothing,4.4,518.0,520.0
Jockey Women Crew Neck T-Shirt,women's clothing,4.4,525.0,529.0
Jockey Men's Cotton Brief (Pack of 2) #Style 8008_Grey Melange_XL-100cm to 105cm,men's clothing,4.4,555.0,560.0
"Neva Thermal Bottom for Men (OMS4-Grey, 90cm)",men's clothing,4.4,578.0,579.0
CITY GIRL Gold Plated Bangles for women and Girls (White_90gm),accessories,4.4,719.0,720.0
Jockey Square Cut Briefs Combo (Multicolour) - Pack of 4,men's clothing,4.4,1040.0,1050.0
US Polo Association Men's Cotton Brief (Pack of 6) (Colors May Vary),men's clothing,4.4,1279.0,1284.0
"REEYA Bizzy Lizzy Embroidery Ladies Nighty V- Neck Half Sleeves with Side Pockets, Night Nighties Gown Maxi for Women",women's clothing,4.4,1385.0,1395.0
"Lakhani Men's Touch 05 Running, Walking Shoes (White Brown and Black, 11 UK)",men's shoes,4.4,1390.0,1399.0
Costafrey Women's Best Support 3 in 1 Postpartum Belly Band Post Pregnancy Maternity postpartum belt for women after birth...,women's clothing,4.4,1498.0,1499.0
Triumph T-Shirt Bra 39 Padded Wired Seamless T-shirt Bra,women's clothing,4.4,1594.0,1599.0
Wildcraft 44 Ltrs Casual Backpack (11629-Wolf_Blue),accessories,4.4,1895.0,1899.0
VIP Polyester Soft 57 Cms Luggage- Suitcase(Stwid58Eblu_Blue),accessories,4.4,2199.0,2199.53
TSF 8720-Black Boot For Men's,men's shoes,4.4,2490.0,2499.0
BATA Men's Leather Dress Lace Up Shoes,men's shoes,4.4,2998.0,2999.0
"Liberty Warrior 7190-25 Flying Boots for Men High Ankle Shoes, Light Weight, Genuine Leather, Pilot Men s Boot - PU Double...",men's shoes,4.4,2998.0,2999.0
